state,avg_risk_score,max_risk_score,risk_score_std,pin_count,high_risk_pins
100000,0.8744897510193125,0.8744897510193125,,1,0
Andaman & Nicobar Islands,0.5747284758195591,1.3212586773002446,0.3174647482278758,19,0
Andaman And Nicobar,0.8609477111470509,1.8034318356714267,0.3921218633583784,24,0
Andhra Pradesh,0.734112131169585,5.373229785979382,0.5494085737165062,3209,0
Arunachal Pradesh,0.666199199563818,2.881429655531226,0.423350204945668,78,0
Assam,1.035000776591602,7.305980157329216,1.0756688027267478,962,5
Balanagar,0.5183882944204357,0.5183882944204357,,1,0
Bihar,1.7101653694863284,7.548452632069897,1.5540202055372725,1371,45
Chandigarh,1.188837324252489,4.6825966198931495,1.3214607549698896,30,0
Chhatisgarh,0.5745014664034716,0.5745014664034716,,1,0
Chhattisgarh,1.3160214733708764,7.288793428558066,1.290104267708869,635,6
Dadra & Nagar Haveli,0.6245491687515108,0.9383537168126689,0.2092201695557476,4,0
Dadra And Nagar Haveli,0.8160760847535793,2.8893089105182574,0.8001063836978463,10,0
Daman & Diu,1.1240929994018376,1.6869443173049445,0.5742430025424745,5,0
Daman And Diu,0.9168683435616795,1.4530597295146166,0.47965836885613505,6,0
Darbhanga,0.5183882944204357,0.5183882944204357,,1,0
Delhi,2.3245466127891596,7.321422084668805,2.0489786054113206,131,13
Goa,0.607591972398371,2.384785674428001,0.385374109359871,111,0
Gujarat,0.8705971552129043,7.3116660136884795,1.0345705354019668,1520,12
Haryana,1.183796232260816,7.574086374092102,1.375372278975035,409,10
Himachal Pradesh,0.5642882909481327,2.682299933950564,0.35873496482075534,489,0
Jaipur,0.5183882944204357,0.5183882944204357,,1,0
Jammu & Kashmir,0.533336703080938,1.5530666522222143,0.16984107842339877,133,0
Jammu And Kashmir,1.0042451078724939,5.501600054120563,0.8850843646803862,303,0
Jharkhand,1.1023228611506717,7.365392906324073,1.1914208545967682,744,8
Karnataka,0.7182169085706014,6.352407706146213,0.6150382356747139,2442,1
Kerala,0.5791354548781591,2.8327465758424015,0.36895805849522434,1475,0
Ladakh,0.6713103738167613,1.0609465114627743,0.25017533251882723,15,0
Lakshadweep,0.5645228282150708,0.9335601474136456,0.2398121754951832,9,0
Madanapalle,0.5183882944204357,0.5183882944204357,,1,0
Madhya Pradesh,1.4618350213767466,7.425795564693257,1.4513889371257704,1168,34
Maharashtra,1.104317838203631,7.585209860184177,1.0342765671103908,2396,23
Manipur,1.2442917319262834,7.026179039601346,1.1748614925998138,126,1
Meghalaya,1.8253304780919675,6.2916393534845145,1.5903017549238914,116,1
Mizoram,0.8003653476302157,3.377547500593388,0.5554112740764865,84,0
Nagaland,0.920292820616808,5.278964154255602,0.9442185172130226,79,0
Nagpur,0.5182212203157189,0.5182212203157189,,1,0
Odisha,0.8110851089112695,3.806939839122926,0.542471973078396,1411,0
Orissa,0.48666267978550887,1.8479877891217962,0.19696196824208403,865,0
Pondicherry,0.6799416050204413,2.027699282871869,0.3694540925131999,43,0
Puducherry,0.6649316493197454,1.9442461039986858,0.3705762932540743,51,0
Punjab,0.8065454204664382,7.406364112687447,0.9070240767521043,780,8
Puttenahalli,0.5182212203157189,0.5182212203157189,,1,0
Raja Annamalai Puram,0.5182212203157189,0.5182212203157189,,1,0
Rajasthan,1.1088736728559123,7.529137417887791,1.1409355429145092,1337,21
Sikkim,0.6052482683144572,1.8014250487732548,0.3564631893833911,71,0
Tamil Nadu,0.6970993446307024,4.828220047813701,0.5034407200216598,2945,0
Tamilnadu,0.7470348539492461,0.7470348539492461,,1,0
Telangana,0.8863536493251318,7.383607697363559,0.792679178424272,1290,3
The Dadra And Nagar Haveli And Daman And Diu,2.1041605706247233,2.1041605706247233,,1,0
Tripura,0.9306447926985296,3.8251234166862553,0.6050428060117345,134,0
Uttar Pradesh,1.4431846115333558,7.937014666498622,1.4643343627370002,2550,73
Uttarakhand,0.7711986160893824,7.440722736003122,0.887725765833624,397,3
Uttaranchal,0.6142678890928328,0.7223690934956764,0.11125119000153418,4,0
West  Bengal,0.5016634579280363,0.7109867463408689,0.11579096670374232,6,0
West Bangal,0.5005439266867255,0.7161660435870866,0.17886978978834928,9,0
West Bengal,0.8872232725337468,7.412333873396399,0.9214063478777754,2879,13
West Bengli,0.7111538204455855,0.7111538204455855,,1,0
Westbengal,0.6584765416113294,0.7958104124338707,0.1398080849335281,7,0
