date,total_enrollments,total_demo_updates,total_bio_updates,active_pins
2025-03-01,0,11147558,8322222,18260
2025-03-02,109,0,0,1
2025-03-09,3404,0,0,32
2025-03-15,3102,0,0,28
2025-03-20,6218,0,0,62
2025-03-23,576,0,0,6
2025-03-26,211,0,0,1
2025-03-27,2704,0,0,35
2025-03-28,191,0,0,2
2025-03-29,67,0,0,1
2025-04-01,257438,1515672,8641679,18087
2025-05-01,183616,1566287,7879956,18176
2025-06-01,215734,1685562,7899289,18137
2025-07-01,616868,2220715,9792552,18302
2025-09-01,74989,434325,336459,18757
2025-09-02,76496,435282,317705,18770
2025-09-03,71988,314732,313613,18667
2025-09-04,65349,383726,301023,18010
2025-09-05,26069,273954,95781,15481
2025-09-06,58957,368240,254489,17390
2025-09-07,14658,89031,32956,11179
2025-09-08,83353,535632,415718,18955
2025-09-09,88508,508624,413147,19009
2025-09-10,84300,483163,388147,18925
2025-09-11,73206,377653,412601,18929
2025-09-12,78860,438856,432655,18928
2025-09-13,56229,318637,307086,18415
2025-09-14,14990,94967,51409,11819
2025-09-15,53240,405790,453198,18896
2025-09-16,63846,372527,461068,18859
2025-09-17,57409,348156,398555,18784
2025-09-18,60598,435090,451849,18934
2025-09-19,57357,362761,428045,18885
2025-09-20,49377,342914,389424,18762
2025-09-21,4400,0,0,2093
2025-09-22,40321,0,0,11230
2025-09-23,48943,0,0,11953
2025-09-24,56573,0,0,12745
2025-09-25,53324,0,0,12462
2025-09-26,37653,0,0,10997
2025-09-27,13592,0,0,6498
2025-09-28,2454,0,0,1459
2025-09-29,6896,0,0,4192
2025-09-30,1944,0,0,1089
2025-10-13,74831,204808,3378,16824
2025-10-15,58895,462577,295766,18791
2025-10-16,36980,493841,274860,19015
2025-10-17,115876,323151,333052,18725
2025-10-18,56021,173228,356701,18324
2025-10-19,58972,233340,345416,18764
2025-10-20,15405,112017,37356,15735
2025-10-21,7643,57390,33407,14625
2025-10-22,233,10448,1681,5389
2025-10-23,1146,25159,9751,10167
2025-10-24,36207,427481,269174,18885
2025-10-25,49996,391813,400266,18717
2025-10-26,28683,416260,456885,17907
2025-10-27,26195,181364,369284,18232
2025-10-28,33808,229427,210487,18368
2025-10-29,28931,346481,319070,18491
2025-10-30,116722,292866,420945,18887
2025-10-31,71376,629315,445176,19000
2025-11-01,17849,473800,434504,18012
2025-11-02,100071,189478,405827,18662
2025-11-03,31532,481800,432827,18609
2025-11-04,1007,529318,288485,18319
2025-11-05,75593,259691,356460,18696
2025-11-06,43585,592379,418932,19016
2025-11-07,42330,467135,370870,18794
2025-11-08,52391,479859,358113,18937
2025-11-09,48219,147786,231988,17766
2025-11-10,66985,496555,366997,18972
2025-11-11,44033,358443,414770,18674
2025-11-12,40496,543863,412698,18968
2025-11-13,33046,341438,367571,18716
2025-11-14,46265,468301,265644,18841
2025-11-15,120091,432978,265589,18848
2025-11-16,53956,110125,292454,18198
2025-11-17,30693,367005,315875,18435
2025-11-18,70427,438524,413123,18957
2025-11-19,115032,437935,296002,18879
2025-11-25,58406,109532,576777,18651
2025-11-26,0,292015,0,15396
2025-11-27,0,678684,0,16195
2025-11-28,0,446681,0,15398
2025-11-29,0,244276,0,12719
2025-12-01,0,286586,457695,18641
2025-12-02,0,469499,536478,18953
2025-12-03,0,450303,393750,18970
2025-12-04,0,477502,449873,18907
2025-12-05,0,303531,365675,18708
2025-12-06,0,271098,360619,18648
2025-12-07,0,210119,233774,17823
2025-12-08,0,590988,338584,18946
2025-12-09,0,310538,462423,18473
2025-12-10,0,308007,359642,18071
2025-12-11,0,465340,424972,18958
2025-12-12,0,529129,420345,19055
2025-12-13,0,275083,419618,18030
2025-12-14,0,220019,90639,17168
2025-12-15,139048,346058,275713,18771
2025-12-16,0,462057,501148,19073
2025-12-18,0,41401,62110,15260
2025-12-19,0,366973,473715,18837
2025-12-20,0,252671,196960,18074
2025-12-21,29602,181831,0,16233
2025-12-22,109337,263214,39,17941
2025-12-23,47327,488460,289,17982
2025-12-24,48459,242245,0,15423
2025-12-25,48635,253401,547398,18732
2025-12-26,52401,433763,450594,18925
2025-12-27,53031,445937,430370,18893
2025-12-28,45690,214513,151474,17895
2025-12-29,60692,276500,300411,18784
2025-12-31,125436,0,0,14342
